====================================================================================================
ALL MACHINES - SYNCHRONIZING SEQUENCE DETECTION RESULTS
====================================================================================================

Total Execution Time: 502.31 seconds
Total Machines Generated: 900
Machines with SS: 890
Machines without SS: 10

====================================================================================================

Machine      States   Has SS     SS Length    Time (s)     Synchronizing Sequence
Machine73    20       YES        10           0.001040     0 1 1 0 0 0 0 0 0 0
Machine74    20       YES        14           0.002501     0 1 0 0 0 0 0 0 1 1 0 1 1 0
Machine75    20       YES        10           0.001000     0 0 1 1 1 1 1 0 1 1
Machine76    20       YES        6            0.000000     0 1 0 0 0 1
Machine77    20       YES        10           0.001145     0 0 0 0 1 1 0 1 0 0
Machine78    20       YES        7            0.000000     0 0 0 0 0 0 0
Machine79    20       YES        10           0.001447     1 1 1 0 1 1 0 1 1 0
Machine80    20       YES        8            0.000000     0 0 1 1 0 1 1 1
Machine81    20       YES        14           0.003011     1 0 1 1 0 1 0 0 1 1 0 1 1 1
Machine82    20       YES        10           0.001329     0 0 0 0 1 0 1 0 0 0
Machine83    20       YES        12           0.002192     0 0 0 1 1 1 1 1 1 1 1 1
Machine84    20       YES        14           0.002489     0 0 1 0 0 0 1 1 1 0 1 0 0 0
Machine85    20       YES        13           0.002235     0 1 0 1 0 1 0 1 1 0 1 0 1
Machine86    20       YES        10           0.001260     1 1 1 1 0 1 0 0 0 0
Machine87    20       YES        6            0.000000     0 0 0 0 0 0
Machine88    20       YES        9            0.001014     0 1 1 0 1 1 0 1 1
Machine89    20       YES        9            0.001251     0 0 0 1 0 0 1 0 0
Machine90    20       YES        12           0.003283     0 1 0 1 1 1 0 1 0 1 1 1
Machine91    20       YES        8            0.001014     0 0 0 0 1 0 0 1
Machine92    20       YES        8            0.001315     1 1 0 1 1 1 1 1
Machine93    20       YES        12           0.001362     0 0 1 1 1 1 0 1 1 0 1 1
Machine94    20       YES        9            0.000000     0 0 0 1 1 1 0 0 0
Machine95    20       YES        11           0.001308     0 1 0 1 0 1 1 0 1 0 1
Machine96    20       YES        9            0.001999     1 1 1 1 0 0 0 0 1
Machine97    20       YES        12           0.001268     1 1 0 0 1 1 1 0 0 1 0 1
Machine98    20       YES        9            0.001109     0 1 0 0 0 0 0 0 0
Machine99    20       YES        13           0.000000     0 1 0 1 0 1 1 0 0 1 1 0 1
Machine100   20       YES        9            0.001486     0 0 0 0 1 0 0 0 1
Machine101   20       YES        9            0.001263     1 0 0 0 0 0 1 1 0
Machine102   20       YES        9            0.001020     1 0 1 1 0 1 1 0 1
Machine103   20       YES        7            0.001425     0 1 1 1 1 1 1
Machine104   20       YES        10           0.001020     0 0 0 1 1 1 0 0 0 1
Machine105   20       YES        5            0.000000     0 0 0 0 0
Machine106   20       YES        11           0.001005     0 0 1 1 1 1 0 0 0 1 1
Machine107   20       YES        12           0.003687     0 0 0 0 0 0 0 0 1 0 1 1
Machine108   20       YES        9            0.000000     0 0 0 0 0 0 1 0 0
Machine109   20       YES        9            0.001293     0 0 1 0 1 1 0 0 0
Machine110   20       YES        9            0.001248     1 1 0 0 0 0 0 0 0
Machine111   20       YES        9            0.000999     1 0 1 0 0 1 0 0 0
Machine112   20       YES        9            0.001499     0 1 0 1 0 0 1 1 0
Machine113   20       YES        9            0.001017     0 0 0 0 1 0 0 1 0
Machine114   20       YES        15           0.005528     0 1 1 0 1 0 1 0 0 1 1 0 0 1 1
Machine115   20       YES        10           0.000994     0 0 0 0 0 1 1 1 0 0
Machine116   20       YES        13           0.007615     1 1 1 1 0 1 0 1 1 1 1 0 1
Machine117   20       YES        7            0.000000     1 1 1 1 1 0 0
Machine118   20       YES        12           0.004014     0 0 1 1 1 1 1 1 1 1 1 1
Machine119   20       YES        17           0.014156     1 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 0
Machine120   20       YES        8            0.001277     1 1 0 1 1 0 1 1
Machine121   20       YES        11           0.001909     0 0 0 1 1 0 1 0 0 0 0
Machine122   20       YES        12           0.001997     0 1 0 0 1 1 0 1 1 0 0 1
Machine123   20       YES        11           0.002332     0 0 0 0 0 1 0 1 0 0 0
Machine124   20       YES        10           0.000000     0 0 1 0 1 0 1 1 0 0
Machine125   20       YES        10           0.001262     0 0 0 0 1 0 1 1 1 1
Machine126   20       YES        10           0.002004     1 0 0 0 0 1 1 1 0 0
Machine127   20       YES        13           0.001426     0 1 1 0 1 1 1 0 0 1 0 1 0
Machine128   20       YES        7            0.000000     0 0 1 1 1 1 0
Machine129   20       YES        9            0.000000     0 0 0 0 1 0 0 0 0
Machine130   20       YES        10           0.000000     0 0 1 0 1 1 0 0 0 0
Machine131   20       YES        9            0.000994     1 0 1 0 1 0 1 0 1
Machine132   20       YES        13           0.001149     0 0 0 0 0 0 1 1 0 0 0 0 0
Machine133   20       YES        11           0.001014     0 0 1 1 0 1 0 1 0 0 0
Machine134   20       YES        10           0.001012     0 1 1 0 1 1 0 1 0 0
Machine135   20       YES        11           0.000998     0 0 1 1 1 0 1 0 0 1 1
Machine136   20       YES        9            0.001064     1 1 0 0 1 0 1 1 0
Machine137   20       YES        12           0.003001     1 0 1 1 0 1 0 1 0 1 0 1
Machine138   20       YES        13           0.003475     0 0 0 0 1 0 1 1 1 0 0 1 1
Machine139   20       YES        13           0.002259     0 1 1 1 1 1 0 0 1 1 1 1 0
Machine140   20       YES        11           0.003002     1 1 1 0 1 0 0 0 0 0 0
Machine141   20       YES        10           0.000998     1 1 0 0 1 0 1 0 1 0
Machine142   20       YES        8            0.000000     0 1 0 1 0 1 0 1
Machine143   20       YES        11           0.001211     0 0 0 0 1 1 0 1 1 0 0
Machine144   20       YES        11           0.001451     1 1 1 0 1 0 1 1 0 1 1
Machine145   20       YES        9            0.001292     1 0 0 1 1 0 0 0 0
Machine146   20       YES        9            0.000000     0 1 0 0 1 1 0 0 1
Machine147   20       YES        13           0.003152     0 1 1 0 0 1 0 1 1 0 1 1 0
Machine148   20       YES        5            0.000000     1 1 1 1 0
Machine149   20       YES        12           0.002010     0 0 1 0 0 0 1 1 0 1 0 0
Machine150   20       YES        11           0.001511     0 0 1 1 1 0 0 0 1 1 1
Machine151   20       YES        10           0.001013     0 0 1 1 0 1 1 1 1 1
Machine152   20       YES        14           0.002457     1 1 0 0 1 0 0 1 0 0 1 0 0 0
Machine153   20       YES        7            0.000000     0 0 0 0 0 0 0
Machine154   20       YES        8            0.000000     0 0 1 1 0 0 0 0
Machine155   20       YES        9            0.001500     1 1 1 0 0 0 1 1 1
Machine156   20       YES        10           0.002473     0 0 1 1 0 0 1 1 0 0
Machine157   20       YES        5            0.000000     0 1 0 1 0
Machine158   20       YES        12           0.002087     1 1 1 1 1 0 1 0 0 1 1 1
Machine159   20       YES        11           0.001007     0 0 0 0 1 0 1 0 1 0 1
Machine160   20       YES        8            0.000997     1 0 1 0 1 0 1 0
Machine161   20       YES        9            0.001469     1 1 1 1 1 1 1 1 1
Machine162   20       YES        8            0.001445     0 0 0 0 1 0 0 0
Machine163   20       YES        6            0.000000     1 1 1 1 1 1
Machine164   20       YES        11           0.001201     0 1 0 0 0 1 0 0 0 1 0
Machine165   20       YES        12           0.004005     1 0 1 0 1 1 1 1 0 1 1 1
Machine166   20       YES        12           0.001026     0 0 1 0 1 0 0 0 0 0 0 0
Machine167   20       YES        11           0.001119     0 0 1 0 1 0 0 1 1 1 1
Machine168   20       YES        10           0.002020     1 0 0 1 0 1 1 1 1 1
Machine169   20       YES        9            0.000000     0 0 0 1 0 0 1 1 0
Machine170   20       YES        7            0.000000     0 0 1 0 0 1 0
Machine171   20       YES        14           0.002995     0 1 1 1 0 0 1 0 1 0 1 0 1 0
Machine172   20       YES        11           0.001010     0 1 0 0 1 0 1 0 1 0 1
Machine173   20       YES        11           0.001011     0 1 0 1 0 0 1 0 0 1 0
Machine174   20       YES        11           0.001009     1 0 0 0 1 1 1 1 1 0 0
Machine175   20       YES        8            0.001001     1 1 0 1 0 1 1 1
Machine176   20       YES        15           0.002011     0 1 0 1 1 1 0 1 1 1 0 1 1 1 0
Machine177   20       YES        9            0.001000     1 1 0 1 1 0 1 1 1
Machine178   20       YES        9            0.000000     1 1 0 1 1 0 1 1 1
Machine179   20       YES        15           0.003002     0 0 0 0 0 0 0 1 0 0 1 0 1 0 0
Machine180   20       YES        9            0.000000     0 0 0 1 1 0 1 1 0
Machine181   20       YES        8            0.000000     0 0 0 0 1 0 0 0
Machine182   20       YES        12           0.000999     0 0 0 0 0 0 0 0 1 0 1 1
Machine183   20       YES        14           0.001058     0 1 1 0 1 1 0 1 0 0 0 1 0 0
Machine184   20       YES        8            0.000000     0 0 0 0 0 1 0 1
Machine185   20       YES        6            0.000000     0 1 0 1 0 0
Machine186   20       YES        8            0.000991     1 0 1 0 0 1 1 1
Machine187   20       NO         N/A          N/A          N/A
Machine188   20       YES        5            0.000000     1 1 1 1 1
Machine189   20       YES        9            0.000000     1 1 1 0 0 1 1 1 0
Machine190   20       YES        9            0.001009     0 0 0 0 0 0 0 0 0
Machine191   20       YES        11           0.001042     0 0 1 0 1 1 0 1 0 0 1
Machine192   20       YES        10           0.001009     0 1 1 1 1 1 1 0 1 0
Machine193   20       YES        10           0.000000     0 0 0 0 0 1 1 0 1 0
Machine194   20       YES        7            0.001017     0 1 1 1 1 1 1
Machine195   20       YES        10           0.001943     0 1 0 0 1 0 0 1 0 0
Machine196   20       YES        9            0.000000     0 0 0 0 0 1 1 1 0
Machine197   20       YES        12           0.001040     0 0 1 1 1 0 0 1 0 1 0 1
Machine198   20       YES        9            0.000000     1 0 1 1 0 0 1 0 0
Machine199   20       YES        10           0.000999     0 1 1 1 1 0 1 1 1 1
Machine200   20       YES        9            0.000000     1 0 1 0 0 1 1 0 1
Machine201   20       NO         N/A          N/A          N/A
Machine202   20       YES        9            0.000994     1 0 1 1 0 0 1 0 1
Machine203   20       YES        9            0.001995     1 1 0 1 1 1 1 1 1
Machine204   20       YES        9            0.001000     0 0 0 0 0 0 1 0 0
Machine205   20       YES        12           0.002010     0 0 0 0 1 0 1 0 0 0 0 0
Machine206   20       YES        17           0.000988     0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0
Machine207   20       YES        10           0.000000     0 0 0 1 0 1 0 0 0 0
Machine208   20       YES        9            0.001010     0 0 1 1 0 1 1 0 0
Machine209   20       YES        10           0.000990     1 0 1 0 1 0 1 0 1 0
Machine210   20       YES        9            0.001004     0 0 0 1 1 0 0 1 0
Machine211   20       YES        11           0.002000     1 0 0 1 1 1 1 0 0 0 0
Machine212   20       YES        8            0.000995     1 0 1 1 0 1 1 1
Machine213   20       YES        7            0.000000     0 1 0 0 1 1 1
Machine214   20       YES        9            0.000973     0 0 0 1 0 0 0 0 0
Machine215   20       YES        9            0.000000     1 0 1 1 0 1 0 1 0
Machine216   20       YES        9            0.001011     1 1 0 0 1 1 1 0 1
Machine217   20       YES        12           0.001000     1 0 0 0 1 0 1 1 0 1 1 0
Machine218   20       YES        7            0.000992     1 1 0 0 0 0 0
Machine219   20       NO         N/A          N/A          N/A
Machine220   20       YES        9            0.000000     1 1 1 0 0 1 0 1 1
Machine221   20       YES        7            0.001002     0 0 0 0 0 0 0
Machine222   20       YES        9            0.000000     0 1 1 0 0 0 1 0 0
Machine223   20       YES        9            0.000000     0 1 0 0 1 0 0 1 0
Machine224   20       YES        11           0.003048     1 1 1 1 0 1 0 1 1 0 1
Machine225   20       YES        9            0.000993     0 1 0 1 1 1 0 1 1
Machine226   20       YES        9            0.000000     1 1 0 1 0 0 1 0 1
Machine227   20       YES        9            0.000000     0 0 1 1 0 0 1 0 0
Machine228   20       YES        6            0.000000     0 0 0 0 0 1
Machine229   20       YES        8            0.000000     1 1 1 0 1 1 1 0
Machine230   20       YES        8            0.000998     0 0 0 0 0 1 1 1
Machine231   20       YES        10           0.000999     0 0 1 1 0 1 0 0 0 0
Machine232   20       YES        9            0.000993     0 0 1 0 0 1 0 0 0
Machine233   20       YES        9            0.001051     1 1 1 0 1 1 0 0 0
Machine234   20       YES        8            0.000946     0 0 0 0 0 1 1 1
Machine235   20       YES        8            0.000000     0 0 0 0 1 0 0 0
Machine236   20       YES        9            0.001001     0 0 0 1 1 0 0 0 0
Machine237   20       YES        10           0.000999     1 1 1 1 1 1 1 1 0 1
Machine238   20       YES        7            0.000000     0 1 1 0 0 0 0
Machine239   20       YES        12           0.002000     0 0 1 1 1 1 1 0 1 1 1 0
Machine240   20       YES        11           0.001000     1 1 0 0 1 1 1 0 1 1 1
Machine241   20       YES        10           0.001001     0 0 0 1 1 1 0 0 0 1
Machine242   20       YES        9            0.001009     0 0 0 0 1 0 1 1 0
Machine243   20       YES        12           0.001001     0 1 0 1 0 1 1 0 1 0 1 1
Machine244   20       YES        15           0.005997     1 1 0 0 0 1 0 1 0 0 1 1 1 1 0
Machine245   20       YES        9            0.000000     0 0 1 1 0 0 0 0 0
Machine246   20       YES        13           0.001568     0 0 0 0 1 0 0 1 0 1 1 1 0
Machine247   20       YES        10           0.001014     1 0 1 0 1 0 1 0 1 0
Machine248   20       YES        11           0.002017     0 0 0 1 0 0 1 0 1 0 0
Machine249   20       YES        6            0.000000     0 0 0 0 0 0
Machine250   20       YES        12           0.000999     0 0 1 0 1 1 0 1 0 0 1 1
Machine251   20       YES        10           0.001002     0 1 1 0 1 1 0 1 1 0
Machine252   20       YES        10           0.001012     0 1 1 1 1 1 0 1 0 1
Machine253   20       YES        8            0.000000     1 1 0 0 0 1 1 0
Machine254   20       YES        12           0.002014     1 1 0 1 1 1 0 1 0 0 0 0
Machine255   20       YES        8            0.000000     1 1 0 1 0 0 0 1
Machine256   20       YES        10           0.000000     0 0 0 0 0 0 1 0 0 1
Machine257   20       YES        9            0.000998     0 0 0 0 0 0 0 0 0
Machine258   20       YES        15           0.005002     1 0 0 0 0 0 0 0 1 1 1 0 0 0 0
Machine259   20       YES        10           0.000999     0 0 1 1 1 0 1 1 1 1
Machine260   20       YES        9            0.000000     1 0 1 0 0 1 1 0 1
Machine261   20       YES        10           0.001001     0 0 0 0 1 0 0 1 0 0
Machine262   20       YES        10           0.001001     0 1 0 1 0 1 0 1 0 1
Machine263   20       YES        9            0.001001     1 0 0 1 0 0 1 0 0
Machine264   20       YES        10           0.001003     0 1 0 0 0 0 0 0 1 0
Machine265   20       YES        13           0.000996     0 0 1 0 1 0 1 0 1 0 1 0 1
Machine266   20       YES        8            0.000000     0 1 1 0 1 0 1 1
Machine267   20       YES        13           0.002015     0 0 0 0 0 0 0 1 1 1 1 0 1
Machine268   20       YES        8            0.000000     0 1 1 1 1 1 0 1
Machine269   20       YES        8            0.000993     1 1 0 1 0 1 0 1
Machine270   20       YES        7            0.001033     1 1 1 0 0 0 0
Machine271   20       YES        8            0.000958     0 0 0 0 0 0 0 0
Machine272   20       YES        5            0.000000     0 0 0 0 0
Machine273   20       YES        9            0.000000     1 1 0 1 0 0 1 0 1
Machine274   20       YES        9            0.001040     1 1 1 1 1 1 1 1 1
Machine275   20       YES        11           0.002008     1 1 0 0 1 0 1 1 0 1 1
Machine276   20       YES        13           0.002007     0 0 0 1 1 0 1 0 1 1 0 1 0
Machine277   20       YES        8            0.000998     0 0 0 1 0 0 1 0
Machine278   20       YES        7            0.000000     0 0 0 1 1 1 1
Machine279   20       YES        11           0.000999     1 1 1 0 0 0 1 0 1 1 1
Machine280   20       YES        14           0.004980     0 1 1 1 1 0 0 0 0 0 0 0 0 0
Machine281   20       YES        11           0.000000     0 0 1 0 0 0 1 0 0 0 1
Machine282   20       YES        10           0.001080     0 1 0 1 0 1 0 1 0 0
Machine283   20       YES        8            0.000000     0 1 1 0 1 1 0 1
Machine284   20       YES        11           0.001029     0 0 0 1 0 0 0 0 1 0 0
Machine285   20       YES        6            0.001037     0 0 0 0 0 0
Machine286   20       YES        10           0.000963     0 0 1 1 1 0 0 1 1 1
Machine287   20       YES        9            0.001005     0 0 0 0 1 0 1 0 0
Machine288   20       YES        6            0.000000     0 1 0 1 0 1
Machine289   20       YES        12           0.002012     0 0 0 1 0 0 0 0 0 1 0 1
Machine290   20       YES        12           0.003013     1 0 1 1 0 0 0 0 1 1 0 0
Machine291   20       YES        9            0.001010     0 1 0 0 1 1 0 1 0
Machine292   20       YES        10           0.000000     0 0 0 0 0 0 0 1 1 0
Machine293   20       YES        6            0.000000     1 1 1 0 0 0
Machine294   20       YES        8            0.000000     0 0 0 0 1 0 1 0
Machine295   20       YES        11           0.002006     1 0 0 1 0 1 1 0 0 0 0
Machine296   20       YES        5            0.000000     1 0 0 1 0
Machine297   20       YES        7            0.000000     1 1 0 1 1 1 1
Machine298   20       YES        11           0.000000     0 1 0 1 1 1 1 0 1 1 0
Machine299   20       YES        12           0.005965     1 1 1 0 0 0 1 1 0 1 1 1
Machine300   20       YES        11           0.000998     1 0 0 1 0 1 0 0 0 1 0
Machine301   40       YES        12           0.016008     1 1 1 1 1 1 1 1 1 1 1 1
Machine302   40       YES        16           0.038023     0 1 0 0 0 0 0 1 0 1 0 0 0 1 1 0
Machine303   40       YES        15           0.025555     0 0 1 1 1 1 1 0 0 1 1 1 0 1 0
Machine304   40       YES        11           0.003010     1 0 1 1 1 0 1 1 1 0 0
Machine305   40       YES        13           0.005011     1 0 1 0 1 0 1 1 0 1 1 0 1
Machine306   40       YES        22           1.651815     1 1 1 1 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1
Machine307   40       YES        12           0.007541     0 1 0 1 1 1 1 1 1 1 1 1
Machine308   40       YES        15           0.020000     1 0 1 1 0 0 0 1 1 1 1 0 1 0 1
Machine309   40       YES        18           0.052552     0 0 1 0 0 1 0 1 1 0 0 0 0 1 1 1 0 0
Machine310   40       YES        14           0.017000     0 0 0 0 1 1 1 0 0 0 0 0 0 0
Machine311   40       YES        15           0.011997     0 0 1 0 1 1 1 1 0 0 0 0 1 1 1
Machine312   40       YES        18           0.124551     1 0 1 1 1 1 0 1 0 1 0 1 0 1 0 1 0 0
Machine313   40       YES        11           0.004993     1 0 0 1 1 0 1 0 0 0 0
Machine314   40       YES        12           0.012011     1 1 1 1 0 0 0 1 1 0 0 1
Machine315   40       YES        17           0.110589     0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 0 1
Machine316   40       YES        16           0.044543     0 0 0 1 1 0 0 0 1 1 1 0 0 1 0 0
Machine317   40       YES        20           0.220112     1 1 0 0 0 0 1 1 0 0 1 1 1 0 0 0 1 0 0 0
Machine318   40       YES        13           0.013525     0 1 1 1 0 0 1 0 1 0 1 1 1
Machine319   40       YES        21           0.303664     0 0 0 0 0 0 0 1 1 1 0 1 0 1 0 0 1 0 1 0 1
Machine320   40       YES        17           0.035557     0 1 1 0 1 1 0 0 1 0 1 0 1 0 1 0 1
Machine321   40       YES        14           0.027032     0 1 0 0 0 1 0 0 1 0 0 1 0 0
Machine322   40       YES        18           0.123569     1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 1 1 1
Machine323   40       YES        18           0.126973     0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1
Machine324   40       YES        15           0.041005     1 0 1 0 0 1 1 0 1 1 0 1 0 1 1
Machine325   40       YES        19           0.168095     0 1 0 0 0 1 1 1 0 1 1 1 0 1 1 0 0 1 1
Machine326   40       YES        13           0.017013     1 1 1 1 1 1 1 1 1 1 1 1 1
Machine327   40       YES        11           0.004515     1 0 0 1 0 1 1 0 1 1 1
Machine328   40       YES        13           0.024001     1 0 1 1 0 1 0 1 0 1 0 1 0
Machine329   40       YES        13           0.012002     1 1 1 1 1 1 1 0 0 0 0 0 0
Machine330   40       YES        22           0.725677     0 0 1 0 1 1 0 0 1 0 1 1 0 1 0 1 1 0 0 1 1 0
Machine331   40       YES        18           0.237053     1 0 1 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0
Machine332   40       YES        18           0.096994     0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
Machine333   40       YES        13           0.005997     0 0 0 1 0 0 1 0 0 1 1 0 0
Machine334   40       YES        16           0.031996     0 1 1 0 0 1 1 0 1 1 1 1 0 1 0 1
Machine335   40       YES        12           0.004008     0 1 0 0 0 0 1 0 0 0 0 0
Machine336   40       YES        14           0.006011     0 0 0 0 0 0 0 0 0 1 1 0 1 1
Machine337   40       YES        12           0.005996     0 0 0 0 0 0 0 1 0 1 0 0
Machine338   40       YES        10           0.001000     1 0 1 1 0 1 0 0 1 0
Machine339   40       YES        17           0.032635     0 1 0 1 0 0 1 1 1 0 1 0 0 1 0 1 1
Machine340   40       YES        15           0.014295     1 0 0 0 0 1 0 0 1 1 0 0 0 1 1
Machine341   40       YES        16           0.057578     1 1 0 1 1 1 1 1 1 0 1 1 1 1 0 0
Machine342   40       YES        12           0.008520     1 1 1 0 1 0 0 0 1 1 1 1
Machine343   40       YES        13           0.006010     0 0 1 0 1 0 0 1 0 1 0 0 1
Machine344   40       YES        16           0.058278     0 0 1 1 0 0 0 1 1 0 1 0 1 0 1 0
Machine345   40       YES        11           0.005481     1 1 1 0 0 1 0 0 1 1 0
Machine346   40       YES        14           0.011009     1 0 1 0 0 1 1 1 1 1 1 0 0 1
Machine347   40       YES        15           0.014997     0 0 0 1 0 0 1 1 1 0 0 0 1 1 1
Machine348   40       YES        13           0.015996     0 0 1 1 1 0 1 1 1 0 1 0 0
Machine349   40       YES        18           0.041530     1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0
Machine350   40       YES        17           0.064532     0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 1 1
Machine351   40       YES        17           0.057966     0 1 1 1 0 1 1 1 0 0 0 1 0 0 1 1 0
Machine352   40       YES        18           0.204567     0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0
Machine353   40       YES        20           0.110819     0 0 0 1 1 1 0 1 1 1 1 0 0 1 1 1 0 0 0 1
Machine354   40       YES        15           0.039010     0 0 0 1 1 1 1 0 0 1 1 0 0 0 0
Machine355   40       YES        10           0.003415     1 0 0 1 0 0 0 0 0 0
Machine356   40       YES        13           0.007002     0 0 1 0 0 1 1 0 1 1 0 1 1
Machine357   40       YES        13           0.006998     0 0 0 0 0 1 0 0 0 1 0 0 0
